label,datatype,species,x_metric,y_metric
01,raw,Bovine,13.866341977509604,-2.782554657294423
01,raw,Bovine,11.65648465656372,-3.690411846698285
01,raw,Bovine,9.749497113771165,-1.7085626897516604
01,raw,Bovine,9.076617459471358,0.8172228294252054
01,raw,Bovine,8.34767732279219,-3.2971407592223856
01,raw,Bovine,11.389493752934731,-2.7161964580151055
01,raw,Bovine,9.004709273657484,-2.6845345394600857
01,raw,Bovine,9.863160107764765,-2.6152520595346846
01,raw,Bovine,6.53465505986989,0.7407711415037436
01,raw,Bovine,5.304343243917502,-2.6209370128251472
01,raw,Bovine,8.960786788278375,-2.7100875797184956
01,raw,Bovine,10.279303949658027,-0.6209841340463467
01,raw,Bovine,8.841662044831414,-3.4756210367007454
01,raw,Bovine,13.151468437852088,-1.8880663284313004
01,raw,Bovine,11.06435349372591,-2.667572183736735
01,raw,Bovine,9.538919598450702,-1.79982319041911
01,raw,Bovine,9.211734004293644,-3.133263377551663
01,raw,Bovine,10.220065487745279,-3.0512245052554334
01,raw,Bovine,9.498789812136597,-3.3370104697188436
01,raw,Bovine,9.058210274502994,-3.397071462341102
01,raw,Bovine,8.544064386651888,-3.003093132284794
01,raw,Bovine,6.76112479254124,-0.48669011350261393
01,raw,Bovine,11.717449888024731,-3.74152022591691
01,raw,Bovine,10.172010979718749,-2.959384792949357
01,raw,Bovine,8.328193077371232,-3.6201520016441204
01,raw,Bovine,7.39012630597824,-2.549748772538778
01,raw,Bovine,6.7315722971605165,-3.0909764604563774
01,raw,Bovine,9.32356526602438,-2.5715111716590147
01,raw,Bovine,9.262760841490717,-1.3523345819918435
01,raw,Bovine,8.676006011430616,-3.247632950792994
01,raw,Bovine,8.3746811987215,-1.6719834727485101
01,raw,Bovine,8.295700282080437,-2.058601846888066
01,raw,Bovine,8.069186192439725,-3.4896682942001394
01,raw,Bovine,7.87822560899431,-3.0564807123762314
01,raw,Bovine,7.829761440013816,-4.219495880198058
01,raw,Bovine,7.328569887227873,-2.3950053336029318
01,raw,Bovine,7.4744918395234965,-2.8202489482261996
01,raw,Bovine,6.952182952748926,-3.258573761512515
01,raw,Bovine,6.163777569148846,-3.055526552163434
01,raw,Bovine,6.03023016177254,-3.1461800943920655
01,raw,Bovine,5.82216322054857,-3.4410027374816496
